Date,ESGU,EAGG,ESGE,ESML,SUSB,ESGD,SHY,SUSA,GOVT,MBB,SUSC
1993-02-01,0.00746988830734168,-0.0006643329136417045,0.07686268311311317,-0.02133399361621161,0.0010281016018991737,0.02445794658545137,0.0025251577307519885,0.007155833536632494,-0.0015387244455132881,0.0036812564978198486,-0.006473508792094146
1993-03-01,0.023358236811986552,-0.000627353128080255,0.008622076125568118,0.033140921651274316,0.0010293746638626786,0.007279550662674228,0.0024456466344333298,0.02277431964744587,-0.00142419116767562,0.003606748241531692,-0.006262454700925482
1993-04-01,-0.02668564586384546,-0.0006068088027683386,0.05243131809617441,-0.024811330374337474,0.001030549797982837,-0.01813074366292406,0.0024014738031451857,-0.026419571478189817,-0.0013605615688769145,0.0035379713895733926,-0.006067635539846713
1993-05-01,0.02583555391340349,-0.000627353128080255,0.059479873424939815,0.04504555936828095,0.0010308435815128767,0.013105763891561342,0.0024456466344333298,0.025209559705860342,-0.00142419116767562,0.003520777176583818,-0.00601893074957702
1993-06-01,0.005472244808145768,-0.0006540607509857463,-0.02101278221055857,0.008043865108548957,0.0010318228599463422,0.02370724017725596,0.0025030713151079163,0.005192119860700299,-0.0015069096461139356,0.003463463133285236,-0.005856581448678048
1993-07-01,-0.002863983411897547,-0.0006335164256738299,-0.006148684589451595,0.016218820456972732,0.0010333897054398869,0.012460650180882046,0.0024588984838197726,-0.0030025181555324125,-0.0014432800473152306,0.003371760664007505,-0.005596822567239691
1993-08-01,0.03686353817147057,-0.0006191353979554885,0.06011649812782227,0.04343339183709103,0.001036523396426976,0.06051230035852876,0.0024279775019180718,0.03605023448804653,-0.0013987393281561377,0.003188355725452041,-0.005077304804362978
1993-09-01,-0.003758038076010577,-0.0005801011798628473,0.016196715233331306,0.030165726182697847,0.0010383840254505603,-0.015613821265531786,0.0023440491224705987,-0.0038813873690113996,-0.0012778430904385987,0.003079459043184736,-0.004768841132654931
1993-10-01,0.013711354472215564,-0.0005821556123940389,0.15360309966330418,0.027307938831929356,0.0010382860976072138,0.04581811569755632,0.002348466405599413,0.013291288872263884,-0.001284206050318469,0.0030851904475145938,-0.004785076062744827
1993-11-01,-0.01594677995796931,-0.0006478974533921714,-0.010521645822854189,-0.030058942722683456,0.0010357399736802037,0.002465748794003694,0.0024898194657214734,-0.015863104394919298,-0.001487820766474324,0.0032342069600909077,-0.005207184245082157
1993-12-01,0.017850857829589076,-0.000656115183516938,0.21413819264538805,0.035193780539851095,0.0010357399736802037,0.07980023075436783,0.0025074885982367305,0.017360483079194997,-0.0015132726059938063,0.0032342069600909077,-0.005207184245082157
1994-01-01,0.03120167118439733,-0.0006437885883297883,-0.01876147983161247,0.03323128879788349,0.0010358379015235502,0.02427921112967274,0.002480984899463845,0.03048453388215762,-0.0014750948467145836,0.003228475555761049,-0.005190949314992259
1994-02-01,-0.02842121522286687,-0.0007156937269214955,-0.06026367262524096,-0.0005026984991080923,0.0010342710560300055,-0.04121684794458485,0.002635589808972348,-0.028125662323333644,-0.0016977984425100502,0.003320178025038781,-0.005450708196430616
1994-03-01,-0.04460733820183638,-0.000832796381199419,-0.08714703133287721,-0.05032766415810186,0.001030353942296144,-0.06588358673177232,0.0028873749473147673,-0.04403686523161872,-0.0020604871556626674,0.0035494341982331094,-0.006100105400026509
1994-04-01,0.012253200668072577,-0.0009540079005397257,-0.0002868421154142674,0.008965135168301108,0.0010264368285622825,0.015781572312607368,0.003147994651914815,0.011857901699847628,-0.002435901788575025,0.0037786903714274378,-0.006749502603622399
1994-05-01,0.011296821038152619,-0.001025913039131433,0.04994346696499733,-0.009562433439579104,0.0010253596222854705,-0.043756083506381584,0.0033025995614233182,0.01091776610537707,-0.0026586053843704912,0.0038417358190558784,-0.00692808683461127
1994-06-01,-0.027874673194348693,-0.0010115320114130913,-0.0529943874613273,-0.032243497377115106,0.0010255554779721636,-0.01284323424306926,0.0032716785795216174,-0.027588403269701262,-0.002614064665211398,0.0038302730103961617,-0.006895616974431474
1994-07-01,0.03274329899289113,-0.001054675094568116,0.06183466629639852,0.01853616087095147,0.001024184488165312,0.0573391820774756,0.00336444152522672,0.03199997725929433,-0.002747686822688679,0.003910512671014177,-0.007122905995690035
1994-08-01,0.041235704836738454,-0.0010587839596304992,0.03719130051495165,0.056450756349443514,0.0010245761995386982,0.05614356237916638,0.0033732760914843484,0.04034814023424063,-0.0027604127424484194,0.0038875870536947445,-0.007057966275330449
1994-09-01,-0.02485551980852939,-0.0010978181777231402,-0.023844857701735625,-0.0014338401580199136,0.0010219321477683418,-0.06260559973276456,0.0034572044709318215,-0.024620529975063456,-0.0028813089801659583,0.004042334970600916,-0.007496309387757675
1994-10-01,0.018290642442467378,-0.0011697233163148477,0.013694147795385291,-0.0010721007009589553,0.0010196798073713713,0.026216602048440465,0.0036118093804403248,0.01779279798379198,-0.0031040125759614254,0.004174157270187655,-0.007869712779825313
1994-11-01,-0.0382291351207114,-0.0012519006175625133,-0.08004435865010491,-0.0382955699514518,0.0010186026010945593,-0.0012449945131052325,0.0037885007055929003,-0.03776699544588392,-0.0033585309711562446,0.0042372027178160954,-0.008048297010814182
1994-12-01,0.01318475249390148,-0.0013073702959046874,-0.017898657863269454,0.02768667595321642,0.0010207570136481832,-0.0012395689432353114,0.0039077673500708884,0.01277363118859582,-0.003530330887912747,0.004111111822559215,-0.007691128548836443
