DATE,growth_indicator
1976-02-01,-0.1875034725723966
1976-03-01,-0.004960482680883199
1976-04-01,-0.008458708531716097
1976-05-01,0.3393595022763563
1976-06-01,0.3812287981493959
1976-07-01,0.32075900661501366
1976-08-01,0.5628196824517946
1976-09-01,0.7104860772648304
1976-10-01,0.8236581984652844
1976-11-01,0.7098583572811005
1976-12-01,0.5949504209011626
1977-01-01,0.8316357422951687
1977-02-01,0.8830175688636623
1977-03-01,0.9806956684558031
1977-04-01,1.1778762647920122
1977-05-01,1.4256307561564416
1977-06-01,1.3962225433858573
1977-07-01,1.574134062074048
1977-08-01,1.7179390474591538
1977-09-01,1.858290378705873
1977-10-01,1.8421359393470431
1977-11-01,1.9015239164681175
1977-12-01,1.958876798984898
1978-01-01,2.0423889202602306
1978-02-01,2.038880979013095
1978-03-01,2.018965906559474
1978-04-01,2.1089128463065343
1978-05-01,2.3193203760342005
1978-06-01,2.2246641151583693
1978-07-01,2.6081125729878027
1978-08-01,2.3586317071414604
1978-09-01,2.4315653521667824
1978-10-01,2.585412185931279
1978-11-01,2.6069832195401474
1978-12-01,2.852168829407509
1979-01-01,2.7499559519587202
1979-02-01,2.3554978956050947
1979-03-01,2.2719119847289595
1979-04-01,2.465672880882938
1979-05-01,2.2864130715138393
1979-06-01,2.288850149809846
1979-07-01,2.3941525887529
1979-08-01,2.35395892277294
1979-09-01,2.4869014944532677
1979-10-01,2.9747090201165545
1979-11-01,2.241361643233793
1979-12-01,1.9689200885958595
1980-01-01,1.9555700274981802
1980-02-01,1.9959687259570595
1980-03-01,2.0824081527370613
1980-04-01,1.1794681897526944
1980-05-01,-0.3772589148414951
1980-06-01,-0.6304319690312423
1980-07-01,-0.06646868667212413
1980-08-01,0.35633950822518107
1980-09-01,0.6254241140044334
1980-10-01,0.8975585201495131
1980-11-01,1.7236338997064455
1980-12-01,1.9974170269399052
1981-01-01,1.8701097383576597
1981-02-01,1.2904022277009968
1981-03-01,1.0282569805312467
1981-04-01,1.3633826462161918
1981-05-01,1.982963469089255
1981-06-01,1.7983035136118848
1981-07-01,1.7566250315197594
1981-08-01,1.7026707576887166
1981-09-01,0.8375713782843736
1981-10-01,0.36332687072320324
1981-11-01,-0.6326459045723518
1981-12-01,-0.7809189447962851
1982-01-01,-0.47607960277516703
1982-02-01,-0.34442356947592623
1982-03-01,-0.40658063446062953
1982-04-01,-0.2065603191418397
1982-05-01,-0.36587780487679944
1982-06-01,-0.21569749256138893
1982-07-01,-0.6902392427597279
1982-08-01,-1.2260934200083284
1982-09-01,-1.4427059914470175
1982-10-01,-1.4122132998855275
1982-11-01,-1.465388642167214
1982-12-01,-1.1203911257108012
1983-01-01,-0.8016550819433944
1983-02-01,-0.548334600406494
1983-03-01,-0.2396460578133715
1983-04-01,0.020233295373494567
1983-05-01,0.10981049439518972
1983-06-01,0.5071813186997098
1983-07-01,0.9888074866772497
1983-08-01,1.232815984067527
1983-09-01,1.0885940586102627
1983-10-01,0.9374684524452048
1983-11-01,1.007446321722197
1983-12-01,0.9989514848817204
1984-01-01,0.9917455384836473
1984-02-01,1.3788795442474244
1984-03-01,1.5995340481972529
1984-04-01,1.3451776401068447
1984-05-01,1.5280883594561263
1984-06-01,1.3545136644806428
1984-07-01,1.3825503349196875
1984-08-01,1.255172370258791
1984-09-01,1.1071019408593754
1984-10-01,1.0034273561268936
1984-11-01,0.8163030408769892
1984-12-01,0.7895657336265978
1985-01-01,0.8244730525507318
1985-02-01,0.8543435430527222
1985-03-01,0.9154111923313388
1985-04-01,0.774968217616949
1985-05-01,0.5735752332978992
1985-06-01,0.6160273698637014
1985-07-01,0.8676973528434073
1985-08-01,0.8217168681706593
1985-09-01,0.9962217786424343
1985-10-01,1.0844715539883563
1985-11-01,0.9234691537680635
1985-12-01,0.8759513518760511
1986-01-01,1.0675433274344026
1986-02-01,1.1024132449993858
1986-03-01,0.7500671634092014
1986-04-01,0.5906058183692858
1986-05-01,0.8388117703921578
1986-06-01,0.804566794429814
1986-07-01,0.6416827254969975
1986-08-01,0.3211506077665449
1986-09-01,0.29522714747115275
1986-10-01,0.09228466593918716
1986-11-01,0.42582817238718024
1986-12-01,0.5780212423034402
1987-01-01,0.9931421118469657
1987-02-01,0.600186351694734
1987-03-01,0.8631316251342036
1987-04-01,0.999313479542568
1987-05-01,0.9072728543363593
1987-06-01,0.6677144760400207
1987-07-01,0.566422097593237
1987-08-01,0.7587394680738572
1987-09-01,0.7261372240231604
1987-10-01,0.6833766903554513
1987-11-01,-1.3313821788847793
1987-12-01,0.35711491357770847
1988-01-01,0.05511680778313957
1988-02-01,0.11386334089118824
1988-03-01,0.5041993301684473
1988-04-01,0.6853951395858447
1988-05-01,0.7014176722270378
1988-06-01,0.8019000990020585
1988-07-01,0.9234213748662126
1988-08-01,0.9525876954207952
1988-09-01,1.0015276815872054
1988-10-01,1.4291688888676026
1988-11-01,1.5517788607191836
1988-12-01,1.539921099179998
1989-01-01,1.7388135390635666
1989-02-01,1.6519856793860987
1989-03-01,1.8246240686959734
1989-04-01,1.5768266577475274
1989-05-01,1.5512952150413595
1989-06-01,1.4611763030940117
1989-07-01,1.4387551643940983
1989-08-01,1.169529173194538
1989-09-01,1.4517599640953454
1989-10-01,1.3981815837797171
1989-11-01,0.9791455851434389
1989-12-01,1.1803877271441676
1990-01-01,0.38019976385644494
1990-02-01,0.7514418519000352
1990-03-01,0.4403496206801427
1990-04-01,0.33744626508041975
1990-05-01,0.2304115016295497
1990-06-01,0.21478562683906954
1990-07-01,0.1628384147422698
