DATE,Inflation_indicator
1967-12-01,-0.2794659616463573
1968-01-01,-0.18211554294304497
1968-02-01,-0.17436061179428103
1968-03-01,-0.00899813022411732
1968-04-01,-0.004153470452675847
1968-05-01,-0.027998189628681655
1968-06-01,0.13392699159410487
1968-07-01,0.20743146055479927
1968-08-01,0.2756788760640669
1968-09-01,0.27626150270264593
1968-10-01,0.35953256445179793
1968-11-01,0.4357935160037715
1968-12-01,0.5449157595567207
1969-01-01,0.5593143096459267
1969-02-01,0.5605096514210611
1969-03-01,0.6922695455503917
1969-04-01,0.8264421794200626
1969-05-01,0.9232324385679248
1969-06-01,0.7798446494062701
1969-07-01,0.7843718691159597
1969-08-01,0.7933236173114191
1969-09-01,0.9413472346892262
1969-10-01,0.8441431903880593
1969-11-01,0.8008306514322832
1969-12-01,0.7914684707173625
1970-01-01,0.8630005505419235
1970-02-01,1.026079121253026
1970-03-01,1.0046352942248167
1970-04-01,0.94297648798353
1970-05-01,0.9889013941600243
1970-06-01,1.061239390191845
1970-07-01,1.0104788744539825
1970-08-01,1.0482708401919036
1970-09-01,1.036549183729772
1970-10-01,1.0280956453032826
1970-11-01,1.126547963700682
1970-12-01,1.1280289363588953
1971-01-01,1.0089018602087712
1971-02-01,0.7686785305688534
1971-03-01,0.477556869124449
1971-04-01,0.40880433682897643
1971-05-01,0.32287417414321923
1971-06-01,0.38591011012111975
1971-07-01,0.3599518919081197
1971-08-01,0.27135948866845133
1971-09-01,0.1867147772743586
1971-10-01,0.08239456659497903
1971-11-01,-0.06991212959755623
1971-12-01,-0.1651962804878089
1972-01-01,-0.14832901941858584
1972-02-01,-0.11005735099977679
1972-03-01,-0.03473163500251936
1972-04-01,-0.06556257025781607
1972-05-01,-0.10439942119725167
1972-06-01,-0.23695293114911983
1972-07-01,-0.24484153457667915
1972-08-01,-0.28048551442823577
1972-09-01,-0.3659617814747137
1972-10-01,-0.29332328952639297
1972-11-01,-0.31552074054665785
1972-12-01,-0.3602753190751736
1973-01-01,-0.4680362658298279
1973-02-01,-0.4545403259640446
1973-03-01,-0.4376435851664226
1973-04-01,-0.40160096475718293
1973-05-01,-0.3508568002392
1973-06-01,-0.3778023384869835
1973-07-01,-0.4079605833593198
1973-08-01,-0.298628592456015
1973-09-01,-0.07907279385073274
1973-10-01,0.21069803149181587
1973-11-01,0.2681005630886367
1973-12-01,0.40230881649231065
1974-01-01,0.5916167430767547
1974-02-01,0.7488131479894543
1974-03-01,0.9345158936042759
1974-04-01,1.036267549811553
1974-05-01,1.2578281195876866
1974-06-01,1.5714275262549926
1974-07-01,1.8927264776586088
1974-08-01,2.0960459103244893
1974-09-01,2.2690240792378478
1974-10-01,2.258356688450961
1974-11-01,2.408297771555336
1974-12-01,2.58796282817337
1975-01-01,2.6334664862237647
1975-02-01,2.689709035382394
1975-03-01,2.6148198159744256
1975-04-01,2.659015182430969
1975-05-01,2.3851886872127706
1975-06-01,2.210384118727282
1975-07-01,1.9754919141986127
1975-08-01,1.676372031720355
1975-09-01,1.5411589419847873
1975-10-01,1.3960079726864678
1975-11-01,1.393828115652983
1975-12-01,1.250047734547046
1976-01-01,1.2549103081291035
1976-02-01,1.1437892149129676
1976-03-01,1.1306434020565832
1976-04-01,0.9585414296680224
1976-05-01,1.0003238694226027
1976-06-01,0.966717294875527
1976-07-01,1.0435234976420344
1976-08-01,1.136612723659553
1976-09-01,1.0380270727535383
1976-10-01,0.9624696338452544
1976-11-01,0.864994371958532
1976-12-01,0.7187603452471734
1977-01-01,0.663723842560879
1977-02-01,0.6641101869589615
1977-03-01,0.6813027918837312
1977-04-01,0.84993100359175
1977-05-01,0.9064016758579595
1977-06-01,0.9695714119245782
1977-07-01,0.9559321915018064
1977-08-01,0.9386726881170981
1977-09-01,0.9528817288354372
1977-10-01,0.9806595167117983
1977-11-01,0.997609227504518
1977-12-01,1.1303063820780035
1978-01-01,1.1332930126663017
1978-02-01,1.122444775767918
1978-03-01,1.1550934846578806
1978-04-01,1.147820302909237
1978-05-01,1.2289565706573655
1978-06-01,1.2422714204108896
1978-07-01,1.324571086255781
1978-08-01,1.4178180860530243
1978-09-01,1.559194556161914
1978-10-01,1.7200462217041919
1978-11-01,1.7817105093363284
1978-12-01,1.7231073954054437
1979-01-01,1.7275561127113195
1979-02-01,1.9044069437641502
1979-03-01,1.9409604824033917
1979-04-01,2.0269579752156592
1979-05-01,2.0846458539082366
1979-06-01,2.150444594667429
1979-07-01,2.2336856591108085
1979-08-01,2.386197903939292
1979-09-01,2.4031494005499967
1979-10-01,2.5006700416491
1979-11-01,2.7373626897727608
1979-12-01,3.022593689403782
1980-01-01,3.282224155869228
1980-02-01,3.327478331414912
1980-03-01,3.5857768216642225
1980-04-01,3.7355551337265167
1980-05-01,3.862476515283973
1980-06-01,4.0960293063265345
1980-07-01,3.5213943856153187
1980-08-01,3.217067564907029
1980-09-01,3.154540634939596
1980-10-01,3.153288486407025
1980-11-01,3.0778155692921985
1980-12-01,3.012166263683524
1981-01-01,2.7764821784488456
1981-02-01,2.499054524576612
1981-03-01,2.1782276076106077
1981-04-01,1.9630496738418046
1981-05-01,1.925480669521467
1981-06-01,1.786165615729972
1981-07-01,2.4988639293495414
1981-08-01,2.702596970065721
1981-09-01,2.846784507109461
1981-10-01,2.5072891094652747
1981-11-01,2.2454483534730656
1981-12-01,2.009665307796677
1982-01-01,1.8738317706002692
1982-02-01,1.8979480654408705
1982-03-01,1.6701287430340686
1982-04-01,1.7375736083494708
1982-05-01,1.727925081297579
1982-06-01,1.6663220987688125
