DATE,UIGFULL
2014-05-01,1.96673
2014-06-01,1.9782
2014-07-01,1.97803
2014-08-01,1.97702
2014-09-01,1.96024
2014-10-01,1.97203
2014-11-01,1.88636
2014-12-01,1.74913
2015-01-01,1.60547
2015-02-01,1.65227
2015-03-01,1.57269
2015-04-01,1.55872
2015-05-01,1.4982
2015-06-01,1.54712
2015-07-01,1.50851
2015-08-01,1.47622
2015-09-01,1.43471
2015-10-01,1.46946
2015-11-01,1.50097
2015-12-01,1.51195
2016-01-01,1.56023
2016-02-01,1.4401
2016-03-01,1.50164
2016-04-01,1.55329
2016-05-01,1.57135
2016-06-01,1.50502
2016-07-01,1.47487
2016-08-01,1.52028
2016-09-01,1.62882
2016-10-01,1.64553
2016-11-01,1.75323
2016-12-01,1.94163
2017-01-01,2.09998
2017-02-01,2.22998
2017-03-01,2.19491
2017-04-01,2.15009
2017-05-01,2.14857
2017-06-01,2.14621
2017-07-01,2.24235
2017-08-01,2.33208
2017-09-01,2.422
2017-10-01,2.47646
2017-11-01,2.48989
2017-12-01,2.50564
2018-01-01,2.56966
2018-02-01,2.59645
2018-03-01,2.69704
2018-04-01,2.76508
2018-05-01,2.82167
2018-06-01,2.89792
2018-07-01,2.95031
2018-08-01,2.96929
2018-09-01,2.918
2018-10-01,2.91637
2018-11-01,2.88545
2018-12-01,2.794
2019-01-01,2.73408
2019-02-01,2.74318
2019-03-01,2.69309
2019-04-01,2.64312
2019-05-01,2.52018
2019-06-01,2.44937
2019-07-01,2.38674
2019-08-01,2.2355
2019-09-01,2.20064
2019-10-01,2.16883
2019-11-01,2.16976
2019-12-01,2.16358
2020-01-01,2.05354
2020-02-01,1.96887
2020-03-01,1.51088
2020-04-01,1.21207
2020-05-01,1.02616
2020-06-01,1.01983
2020-07-01,1.06428
2020-08-01,1.23716
2020-09-01,1.19762
2020-10-01,1.21783
2020-11-01,1.32158
2020-12-01,1.43026
2021-01-01,1.4715
2021-02-01,1.63249
2021-03-01,2.22698
2021-04-01,2.7971
2021-05-01,3.32711
2021-06-01,3.68856
2021-07-01,3.93936
2021-08-01,3.96794
2021-09-01,4.23481
2021-10-01,4.63097
2021-11-01,4.78989
2021-12-01,5.01674
2022-01-01,5.44649
2022-02-01,5.72464
2022-03-01,6.01374
2022-04-01,6.1256
2022-05-01,6.2598
2022-06-01,6.31761
2022-07-01,6.26631
