,ESGU,EAGG,ESGE,ESML,SUSB,ESGD,SHY,SUSA,GOVT,MBB,SUSC,mu,sigma_p,CVaR,Var,Realized_r_t,Target_vol
0,0.0,0.0,0.0,0.0,0.0,0.0,0.055689110598652135,0.0,0.0,0.9443108894013479,0.0,0.004614372748911866,0.008637398273056134,0.010483137598517812,0.005270345665946799,0.016037423672660676,0.04330127018922193
0,0.0,0.0,0.0,0.7817268629264649,0.0,0.21827313707353513,0.0,0.0,0.0,0.0,0.0,0.01911685951895977,0.04147786730617349,0.05152944012516814,0.032504727764499065,0.03080664681560789,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.02855096730034699,0.0,0.0,0.971449032699653,0.0,0.006118795287946446,0.008666951473281297,0.006992255645283203,0.0037279882444460556,-0.0056236355565017476,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.04964359566547715,0.0,0.0,0.9503564043345228,0.0,0.0044897216926300925,0.0075227229239498775,0.007427302301372174,0.005129347159661813,-0.009368522962439018,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.059002412724081445,0.0,0.0,0.9409975872759185,0.0,0.003944240204531462,0.0076146598959826355,0.009348234416098021,0.005853659557272169,0.020296364442956464,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.02818999039301494,0.0,0.0,0.971810009606985,0.0,0.005283626305309706,0.006886978650640595,0.007544308922665797,0.002545304607261347,0.002010063122385991,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.9882113332776944,0.0,0.0,0.0,0.011788666722305607,0.0,0.020628270321865316,0.029806606493776342,0.02880481121171739,0.017846748733971397,-0.02577254097610967,0.04330127018922193
0,0.0,0.0,0.0,0.00309065890324944,0.0,0.0,0.023039321005873806,0.0,0.0,0.9738700200908768,0.0,0.00528436914596816,0.008427683253575824,0.009350686454178025,0.006278102577319429,0.00859924780401363,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.06698072546552886,0.0,0.0,0.9330192745344712,0.0,0.003997682142706837,0.007397952310041554,0.009686804956670491,0.005976340400676611,0.011987409299829908,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.026955977558415733,0.0,0.0,0.9730440224415843,0.0,0.005519579283945985,0.008104332654110449,0.009087518448084902,0.004757196116237774,0.0021651107285850977,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.08452302467869774,0.0,0.9154769753213022,0.0,0.0,0.0,0.015239359567133121,0.03610949354647263,0.050037702267071084,0.027252073498616726,-0.016446271770084526,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.8645656868920796,0.0,0.13543431310792042,0.0,0.0,0.0,0.020048938004296846,0.03870270004424335,0.05175487832558945,0.034448258131745256,0.01964292924598223,0.04330127018922193
0,0.0,0.0,0.4747625315430752,0.495046889432577,0.0,0.019410873649471094,0.010662473362607394,0.0,0.0,0.00011723201227024842,0.0,0.009628407129724665,0.04330026475219704,0.05744238240872382,0.04958576723095312,-0.05081185003988181,0.04330127018922193
0,0.06356894822375683,0.0,0.7507995592395602,0.18321564444566044,0.0,0.0,0.0,0.002415848091022487,0.0,0.0,0.0,0.025321804936641445,0.0433012642098104,0.05096549379311012,0.030660063102885302,0.04151918176296642,0.04330127018922193
0,9.386405078422365e-08,1.407617415040545e-07,0.04057061681531646,0.7567956187658519,1.7903030803829154e-07,2.491488045328363e-07,3.4200960413657387e-07,8.188792670670716e-08,1.530667992105794e-07,0.20263242963153366,9.501806327288313e-08,0.033208428161102574,0.04330127019015235,0.034452568648841955,0.015200982805780229,0.0036413290025428023,0.04330127018922193
0,0.0,0.0,0.9666901449065493,0.0,0.0,0.0,0.0,0.0,0.0,0.033309855093450746,0.0,0.004654360869118593,0.040596234151944605,0.064214686423395,0.04283860875302919,-0.00628358442647158,0.04330127018922193
0,0.0,0.0,0.06368507673587433,0.44301762316479437,0.0,0.49329730009933126,0.0,0.0,0.0,0.0,0.0,0.020218859129726284,0.04330125926642068,0.04775718200875234,0.03429445934140075,0.004207872974661563,0.04330127018922193
0,1.5049465284593552e-07,2.670012907244163e-08,0.5370173021870698,0.31461216154722876,2.7767627357933794e-08,0.14837013047233943,2.6799208819969994e-08,9.612065753419641e-08,2.625003897885235e-08,2.675995834051217e-08,2.490108893647765e-08,0.029987566364452354,0.043301270189243166,0.03850946579448192,0.023138067044088263,0.030967523638370367,0.04330127018922193
0,0.0,0.0,0.9766767981200043,0.0,0.0,0.0,0.0,0.0,0.0,0.023323201879995703,0.0,0.0052098472246844395,0.038974715543077465,0.06243769949824442,0.04639374143329621,0.006692309638333589,0.04330127018922193
0,0.003071337149130767,0.0,0.0,0.006297706672777518,0.0,0.0,0.0,0.0,0.0,0.9906309561780917,0.0,0.003736566436151185,0.004467064176547782,0.00387314953836913,0.0013302981186656833,0.00040575838829998287,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.04250961320705803,0.0,0.0,0.957490386792942,0.0,0.0035817751574230444,0.004136376063344748,0.002799854443591993,0.001797011094570671,-0.002616323790396961,0.04330127018922193
0,-3.000101352443328e-07,0.0,0.5670811344196328,0.19712083636958855,0.0,0.23579832922091382,0.0,0.0,0.0,0.0,0.0,0.024603198852175455,0.043301265327221436,0.04441475719813741,0.0330014531919217,-0.02653737743980221,0.04330127018922193
0,0.26278252439976163,0.0,0.11013879348004114,0.0,0.0,0.6270786821201972,0.0,0.0,0.0,0.0,0.0,0.013655391811597861,0.03287943181856236,0.04643969371747403,0.02428148364738128,0.019491924719319036,0.04330127018922193
0,0.0,0.0,0.9115843149933901,0.0,0.0,0.0884156850066099,0.0,0.0,0.0,0.0,0.0,0.0178044309686074,0.03871692354962653,0.05174119540994793,0.03711509219737587,-0.07708429244645383,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.273567880712917,0.0,0.7264321192870831,0.0,0.0,0.0,0.017691599901675768,0.03130514841864539,0.035740960313905605,0.02362457073579391,-0.0246960766852587,0.04330127018922193
0,0.0,0.0,0.025552086335016325,0.0,0.0,0.9744479136649836,0.0,0.0,0.0,0.0,0.0,0.018355468541145625,0.029877588556739606,0.03411296135741069,0.023515126400059778,0.05138331199690172,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318219387186146,0.0,0.0,0.8681780612813854,0.0,0.002554290844993992,0.0076231582535938305,0.010537305840565914,0.0070327648633347626,-0.002078793421603886,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.04136860855162771,0.0,0.0,0.9586313914483723,0.0,0.003730680708331698,0.007527108794126529,0.008574187055987224,0.006033170428727004,-0.009590208112609947,0.04330127018922193
0,0.0029102075160867425,0.0,0.0,0.0,0.0,0.0,0.013898006465784414,0.0,0.0,0.9831917860181288,0.0,0.005751131847700962,0.007617721933380764,0.007171130420472113,0.0033196373559564733,0.024203030207309573,0.04330127018922193
0,0.9029265928860352,0.0,0.0,0.0,0.0,0.09707340711396484,0.0,0.0,0.0,0.0,0.0,0.018874305322203157,0.03163193177212927,0.036804556857837636,0.013388036502715398,-0.0009730165033689614,0.04330127018922193
0,0.0,0.0,0.834550760480089,0.0,0.0,0.0,0.0,0.16544923951991097,0.0,0.0,0.0,0.019283009012368124,0.041357591927197006,0.05759859269726512,0.04342386005146212,0.06644308623569474,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.029833445719934522,0.0,0.0,0.9701665542800655,0.0,0.004174619320161352,0.008019867125426187,0.009517916001909321,0.004727618275905473,-0.0006998022192314204,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.053217336989790934,0.0,0.0,0.9467826630102091,0.0,0.00372404718016334,0.00853218231989513,0.00927180252034994,0.007324330353359297,0.001228937496900764,0.04330127018922193
0,0.0,0.0,0.0505776041868363,0.0,0.0,0.9494223958131637,0.0,0.0,0.0,0.0,0.0,0.02194665364189862,0.03064847005338827,0.023738146261218077,0.012605285872811183,0.04364794147385134,0.04330127018922193
0,0.24150914751567934,0.0,0.0,0.24964448247332002,0.0,0.5088463700110006,0.0,0.0,0.0,0.0,0.0,0.018763067486535327,0.03195261200263068,0.033642626190287676,0.025207403887906363,0.043008719504780135,0.04330127018922193
0,0.0,0.0,0.0,0.8634822936165024,0.0,0.0,0.0,0.0,0.0,0.13651770638349758,0.0,0.004322779158226664,0.04330126912931348,0.06599312781583291,0.05227159034490338,0.016581189247898188,0.04330127018922193
0,0.0,0.0,0.0,0.05027533882493218,0.0,0.9465497150843596,0.0,0.0,0.0,0.003174946090708191,0.0,0.019756704207508267,0.03229680100890321,0.03820538914646719,0.02113787024284711,0.019896315320593536,0.04330127018922193
0,0.0,0.0,0.47243862628232547,0.0,0.0,0.5228551996616965,0.0,0.0,0.0,0.004706174055978045,0.0,0.01848942530774932,0.031420974854155105,0.03137871393606299,0.022375590181856156,-0.0203061512312588,0.04330127018922193
0,0.22594773110482597,0.0,0.0,0.0,0.0,0.7740522688951741,0.0,0.0,0.0,0.0,0.0,0.020587552286879772,0.029483733669027574,0.029468318066974065,0.01702956843370078,-0.0034757851450044723,0.04330127018922193
0,0.0,0.0,0.0,0.5898172629013078,0.0,0.0,0.0,0.41018273709869224,0.0,0.0,0.0,0.016363783408168592,0.04155728298333563,0.05351015884603329,0.036341731053133916,0.022087923813760867,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.01537386276296597,0.0,0.0,0.0,0.9846261372370341,0.0,0.00473655307886636,0.0073023483077081595,0.0072445810946530935,0.0044506900983212,0.010013870889872923,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0895763774982105,0.0,0.0,0.9104236225017895,0.0,0.0038199530010908844,0.006219627094386018,0.007002467698181959,0.004224687943745159,0.002630383934718737,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.05396744712632557,0.0,0.0,0.9460325528736744,0.0,0.004060522271391236,0.007251529384072309,0.00858612207907369,0.004682114812170417,-2.4580433800129212e-05,0.04330127018922193
0,0.0,0.0,0.20422079690632058,0.0,0.0,0.122597154624252,0.0,0.6731820484694274,0.0,0.0,0.0,0.012827552820094724,0.03297923995659808,0.04507151721094364,0.030123086220774593,0.018835010950618875,0.04330127018922193
0,0.1744861688127627,4.479949017555379e-08,0.19641759757450208,0.6290954795113572,4.766127568203744e-08,1.9625331343478553e-07,4.934126916082816e-08,2.8490433291902424e-07,4.142913322483988e-08,4.8968136783964035e-08,4.074442662998122e-08,0.03268264072643758,0.0433012701892325,0.03389173398428339,0.024403304962668387,-0.0036825268582095054,0.04330127018922193
0,1.3168655782492146e-07,2.4176713994508725e-07,0.711349252467976,9.750646247904632e-08,3.5380933695542044e-07,0.20879873661643372,3.3693947658586236e-07,1.4377425812792523e-07,2.403476567148089e-07,0.07985031970362816,1.4538107348939316e-07,0.032192737135568264,0.04330127018925499,0.03945234148925161,0.025324366492871914,-0.00015883373859525412,0.04330127018922193
0,1.571391839930412e-07,6.008740186055075e-08,0.8242036760173715,0.17579550495132337,6.283020703701243e-08,1.3270510893054777e-07,6.516694428548671e-08,1.5843585784533887e-07,5.874706427784079e-08,6.931066000228407e-08,5.460887695596804e-08,0.023656184024777965,0.043301270313148676,0.04895144760154347,0.034293652868095416,0.05401122204754546,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.1098720358121635,0.0,0.8469564669928439,0.0,0.0,0.04317149719499262,0.0,0.0018405643411364648,0.003014444150624491,0.003611921391910812,0.002121356570450406,0.002102613195129174,0.04330127018922193
0,1.1197714180798923e-06,9.074000400197186e-08,0.4746341339800926,0.3443794805406474,1.0369855189733852e-07,0.18098418598310248,9.207262284998558e-08,4.844782919952647e-07,8.214659419497159e-08,1.542707511139138e-07,7.23179234484309e-08,0.031150170987309926,0.043301270189364194,0.04680069725273645,0.023952007858962232,0.026036580022100256,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.053995849106716204,0.0,0.0,0.9460041508932838,0.0,0.004083658040187229,0.007467518311957446,0.008768809416666546,0.004380516554335336,9.081612383302831e-05,0.04330127018922193
0,0.04696387625594255,0.0,0.028353341141316393,0.0,0.0,0.9027108695468913,0.0,0.021971913055849814,0.0,0.0,0.0,0.016500687295609166,0.029202130631314292,0.02970491458625404,0.017229831937149977,0.007067547272500364,0.04330127018922193
0,0.47448869414152073,0.0,0.5131371640934584,0.0,0.0,0.0,0.0,0.0,0.0,0.012374141765020852,0.0,0.006067306345255502,0.038576701908172584,0.06220865779294249,0.048154610731803396,0.015833554742668312,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.04521060792587392,0.0,0.0,0.954789392074126,0.0,0.0030385068569130508,0.005457256297814749,0.00651112767346086,0.0038239688724420262,-0.008976646971871413,0.04330127018922193
0,0.0,0.0,0.040090332583370185,0.0,0.0,0.0,0.013831097645923114,0.0,0.0,0.9460785697707067,0.0,0.0031164566490337244,0.0055957316553403936,0.006529975404072256,0.0051457035459891365,-0.010515183063827043,0.04330127018922193
