,0
0,0.01023203752580469
1,-0.009009329815671254
2,-0.007723074936764637
3,0.0181648319211091
4,0.008585546127688701
5,0.018787385286463728
6,-0.002142498170123873
7,0.007416049345522328
8,-0.011636469466026927
9,0.01695454525831601
10,0.0032502117250296186
11,0.01988437204228433
12,0.0021063424765667273
13,0.009755962318687247
14,0.007136514818248736
15,-0.01669855976050926
16,0.004829351110661982
17,0.0025966473278043268
18,0.0096671607022818
19,0.007786739090677682
20,0.018608473965319474
21,0.007526349182968028
22,0.008148464102033055
23,0.00648568448262791
24,-0.005027471077434219
25,0.005615271533134491
26,0.014983291860314418
27,0.012924840964716137
28,-0.0006296950686430821
29,-0.008451519031015107
30,0.009908567473417118
31,0.0190021206823567
32,0.02053456137994325
33,-0.0198687282393504
34,-0.0024839722680644718
35,-0.02990851065609796
36,-0.004559086577394941
37,-0.005340199047896048
38,0.025779111802079882
39,0.0037814899424671285
40,-0.033883353682772
41,0.0023960909635213547
42,0.007872286457237436
43,-0.04173552593833932
44,-0.07433589701590514
45,-0.02124944633878182
46,0.014452995760896044
47,-0.03295394925700502
48,-0.037811138090020145
49,0.031675933776692
50,0.04999284049412264
51,0.027172460346996503
52,-0.00016721495927484218
53,0.03991433639129489
54,0.013769653873193476
55,0.02151613660475942
56,-0.006479417478889565
57,0.018898821072042396
58,0.012990033031783694
59,-0.013951610701139998
60,0.014680086299017358
61,0.025475697947382275
62,0.007694858150490621
63,-0.028312120352324256
64,-0.018415631298110288
65,0.02966095639767629
66,-0.016188304010980144
67,0.03955148506939672
68,0.017977924574105908
69,0.001650252668836427
70,0.02189864000385007
