,0
0,0.008470027964140783
1,0.008540261403826837
2,-0.004061907654901172
3,0.015236645695567527
4,0.0018530448369685456
5,0.001441337663091973
6,0.021503058188752856
7,0.0020858455903295554
8,0.023050209342048447
9,-0.006409805469988946
10,0.033067673485982337
11,0.009079153706291863
12,-0.014491296190086827
13,-0.02668442831865917
14,0.004216788844780155
15,0.0014906024461107086
16,-0.014176172920793392
17,0.018166105115315485
18,0.020797976425622616
19,-0.012755846575678029
20,0.006507662486820328
21,-0.018108679659662417
22,0.0028197853893484823
23,-0.00451395862949408
24,0.02043720854169914
25,0.012404757980542018
26,0.008011724008257656
27,0.01959112980625341
28,0.008491000968726854
29,0.018537727529187354
30,0.002167351484643709
31,0.01378124844161071
32,-0.002623375120050064
33,0.016053106355377336
34,0.008145754759436118
35,0.016329986921886436
36,0.0037931796049680455
37,0.002432858660616873
38,0.0112091974631405
39,0.008610954041886347
40,-0.005037305804716437
41,-0.01798369399438208
42,0.017330781221238965
43,0.020538823001025018
44,0.0070110554943738
45,0.0240871909226272
46,0.0015114213006041997
47,0.016214434884509462
48,0.0001786196592653362
49,-0.0156682671316732
50,0.015151095250145756
51,0.03489992907983822
52,0.013677475122656546
53,0.030394735757190983
54,-0.01611562027553692
55,0.029128062251206926
56,-0.03424696203421975
57,0.0074392355677028645
58,0.012767035265303355
59,-0.0022079909949819627
60,0.0406674359231331
61,0.016528660688389717
62,-0.003023221131182127
63,-0.017445197865465382
64,0.004575286547882499
65,-0.012877683989326656
66,-0.05781732106852827
67,0.02218290982742639
68,0.04378161946015105
69,0.02343644461424851
70,0.018038703552457347
71,0.0056804724231262005
72,-0.005645561500911483
73,0.01782887024576319
74,0.034029589028550945
75,-0.01179268129746838
76,0.02277344169733956
77,-0.010097278897550436
78,-0.002582803439330028
79,-0.010716624243404327
80,0.019192688858386455
81,0.02575325889038621
82,0.03287230192210854
83,-0.02167260747560598
84,0.021082818157567
85,0.016497659084849986
86,-0.020073743956468444
87,-0.011984795428141156
88,0.018845353735576272
89,-0.001746761156537499
90,0.02637001569103167
91,-0.020628134069158872
92,-0.006245176602941136
93,-0.03297200822334116
94,0.016847359577387568
