,ESGU,EAGG,ESGE,ESML,SUSB,ESGD,SHY,SUSA,GOVT,MBB,SUSC,mu,sigma_p,CVaR,Var,Realized_r_t,Target_vol
0,0.0,0.0,0.0,0.0,0.0,0.0,0.05952824041414116,0.0,0.0,0.9404717595858588,0.0,0.004317839972714366,0.010387615019057229,0.014312246990553262,0.008098054778001192,0.00361243597247129,0.023094010767585032
0,0.0,0.0,0.13688241591812522,0.03617397466414206,0.0,0.3984700414904474,0.42847356792728525,0.0,0.0,0.0,0.0,0.00923994007686971,0.023094002591179708,0.026587369949944574,0.021460819162622862,0.0063276272643898596,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.04972634068507324,0.0,0.0,0.9502736593149268,0.0,0.003343679956587966,0.011590866797364026,0.015633919919928702,0.011954200988450275,0.0034814575234028075,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.08988328946412492,0.0,0.0,0.9101167105358751,0.0,0.004313180323835141,0.011086575841665511,0.014819233578237386,0.010152174197940901,0.0034241409068519655,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.04391028534183841,0.0,0.0,0.9560897146581616,0.0,0.004352243058012638,0.010141462877965336,0.014846612216812865,0.0072477682711411685,0.003421292054509068,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.08675313524297937,0.019975889317388782,0.8655376272655841,0.02773334817404773,0.0,0.0,0.0,0.0025525512685858824,0.004848295827421151,0.00534727920762997,0.0034551023965190522,0.002383561643676687,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0354466454620139,0.0,0.0,0.9645533545379861,0.0,0.0020624543584511386,0.007374396436247056,0.011296007639260312,0.006596651841119426,0.0031614028681453544,0.023094010767585032
0,9.370686361654344e-08,0.3289761527841896,0.2132768993182804,0.3873560745801863,3.24983233503886e-06,9.857922476344468e-08,5.3318756462468674e-06,1.0808428980776394e-07,0.070376937822193,4.740825041380081e-06,3.1259174989862e-07,0.0028108632027676107,0.02309401076778989,0.029854311643456147,0.024702931905130454,0.014858519017356691,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.10247962748532898,0.0,0.0,0.897520372514671,0.0,0.0034671723803003113,0.010291326852586859,0.015295111362867552,0.00825687259012845,0.0030096912421395546,0.023094010767585032
0,0.0,0.0,0.17369903287459834,0.32624147084960875,0.0,0.06178996640738343,0.41743280959174767,0.02072701680136999,0.0,0.00010970347529174374,0.0,0.0007235414346589934,0.023093927447038528,0.03370869551395922,0.026300055275960754,-0.010770822547180396,0.023094010767585032
0,0.0,0.0,0.4416407518559079,0.018190671487137433,0.0,0.02517243471561882,0.24883743745480938,0.26615861991398587,0.0,8.457254056978543e-08,0.0,0.013360924921476003,0.02309399767661405,0.0225532012029558,0.012263035730020478,0.10246571652827698,0.023094010767585032
0,0.0,0.0,0.0,0.010858341493838325,0.0,0.0,0.0,0.0,0.0,0.9891416585061616,0.0,0.0016826494408319639,0.0074996191631873915,0.009175739563121774,0.007652674523007851,0.0035542563477198195,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.6315623289040113,0.0,0.0,0.3684376710959887,0.0,0.0010305304129997377,0.005515323952592445,0.009086568123161273,0.005641711668678105,0.002887817896959562,0.023094010767585032
0,0.0,0.0,0.0,0.5416731844576039,0.23437965366487493,0.0,0.2239471618775212,0.0,0.0,0.0,0.0,0.014376411688827443,0.0230939853757635,0.02644787110597556,0.016123442202513875,-0.026373032685956834,0.023094010767585032
0,0.03441721666837972,0.0,0.3013419631731667,0.0,0.0014486743712553676,0.0413973347295574,0.4534733202647271,0.16792149079291588,0.0,0.0,0.0,0.015414328583142397,0.023085769595862452,0.023774076498602456,0.012417071438303832,0.004408813618499166,0.023094010767585032
0,0.04730779017357658,0.0,0.32642060274621604,0.23051909509284785,0.0,0.0,0.0,0.003409346715140539,0.39234316527221896,0.0,0.0,0.007857527134202824,0.023093981710379068,0.027428568110389035,0.02172002186837131,0.013626817524168547,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388116529698499,0.0,0.0,0.9611883470301501,0.0,0.002277804747669698,0.008114691751273514,0.011926475047408899,0.006729926693830441,0.0038085930371941083,0.023094010767585032
0,0.0,0.0,0.24542814743312835,0.3807341960950509,0.0,0.0,0.0,0.0,0.0,0.37383765647182077,0.0,0.0017507362600604147,0.023093981497840484,0.03428651421803486,0.026440959830403454,0.023695214796696274,0.023094010767585032
0,0.0,0.0,0.0,0.51893925381778,0.0,0.0,-1.400649881783502e-10,0.0,0.0,0.48106079394439755,-4.7622112669161683e-08,0.003694359256028565,0.023093970755221915,0.03551759613525522,0.03047825951197829,0.03116467942765064,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.057901047197022056,0.0,0.0,0.942098952802978,0.0,0.0038273547529728853,0.01134069568376529,0.016380478367112636,0.013453595649395678,0.004008455301923142,0.023094010767585032
0,0.06167866842234576,0.0,0.344643587783173,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.5936777437944812,0.0,0.010871920690735394,0.023093999584057993,0.029050394722949978,0.01900746754678021,0.008325846968683515,0.023094010767585032
0,0.28819403089484324,0.0,0.04343512536105507,0.29304250395810777,0.0,0.0,0.37532833978599384,0.0,0.0,0.0,0.0,0.013721051560800132,0.023093989130986543,0.025349116640595252,0.017242420505114736,-0.024294443329442056,0.023094010767585032
0,0.3124255209858672,0.0,0.2419068233053632,0.003131272569272537,0.23823859993817675,0.008215196791374089,0.19608258640994627,0.0,0.0,0.0,0.0,0.012679914521042873,0.02309392540254564,0.02267134890306699,0.01717501803548453,0.0008753857788841089,0.023094010767585032
0,0.0,0.0,0.0,0.014740264063316907,0.0,0.0,0.0,0.0,0.0,0.9852597359366831,0.0,0.0028453695569456497,0.007544970564086988,0.009949508388087176,0.005280796840687914,0.0038940581529345805,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.10942694213675695,0.0,0.8466762228268471,0.0,0.0,0.04389683503639598,0.0,0.0026866742124050705,0.004079368271139377,0.0039430765042757325,0.002231828173636057,0.0034239189291299333,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761666211766724,0.238333788233276,0.0,0.0033256370523683304,0.012209292774363716,0.017813273781408408,0.01216865191486999,-0.0013581514406760297,0.023094010767585032
0,0.0,0.0,0.41554026766843116,0.12988618417260572,0.24564479374748108,0.08338286684213149,0.0021749587762171026,0.0,0.0,0.1233709287931335,0.0,0.015508668094640413,0.02309399781823677,0.018904031214023717,0.011757153466708132,0.00042039511270578443,0.023094010767585032
0,0.0,0.0,0.0,0.32701732635649006,0.0,0.11803562589373175,0.0,0.0,0.0,0.5549470477497782,0.0,0.009366155270472328,0.023093987416716883,0.031062736184886985,0.018033057151460353,0.012017958764797939,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.12443055640723952,0.0,0.0,0.8755694435927605,0.0,0.0031175449903848773,0.010958575083687232,0.016865784445549026,0.011104441205629789,0.003398711232166004,0.023094010767585032
0,0.0,0.0,0.28342793070704936,0.31056814060817167,0.3105220421078903,0.0,0.09548188657688875,0.0,0.0,0.0,0.0,0.014076560387532354,0.023093985946145007,0.022798538581789166,0.017120559301837805,0.025443106143035292,0.023094010767585032
0,0.0,0.0,0.09246420739874175,0.19224134732647583,0.0,0.0008890244230024545,0.3459064509068794,0.36849896994490056,0.0,0.0,0.0,0.012094737131893483,0.023093982082461842,0.025028411441564053,0.014129033737075683,0.005966602210176241,0.023094010767585032
0,0.28123755626068386,0.0,0.15596556540522394,0.13584364954793907,0.0,0.04584601119619794,0.3811072175899553,0.0,0.0,0.0,0.0,0.012363235512094414,0.02309399712609488,0.023675791311014535,0.013976040838050582,0.02221576397307788,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.07963798781176665,0.0,0.0,0.9203620121882333,0.0,0.0016738346319056458,0.007460322722691298,0.010374784932474184,0.007283520299242993,0.0033198263170758757,0.023094010767585032
0,0.0,0.0,0.0,0.015296165189086787,0.0,0.0,0.0,0.0,0.0,0.9847038348109132,0.0,0.0025314692651872976,0.006792118990727168,0.010085123068258227,0.006022654294239542,0.003908241889317426,0.023094010767585032
0,0.4564981708450512,0.0,0.0,0.1628317055291263,0.0,0.0,0.38067012362582253,0.0,0.0,0.0,0.0,0.005402791001929072,0.02309399749594775,0.030358914443525238,0.02153565874105936,0.012522822088468551,0.023094010767585032
0,0.0,0.0,0.0,0.0,0.0,0.0,0.039444004698959506,0.0,0.0,0.9605559953010405,0.0,0.002309523173625133,0.007369211951043076,0.011005249847931088,0.008560749671748306,0.0031509777923329364,0.023094010767585032
0,0.0,0.0,0.016557314868294076,0.4328299023133526,0.0,0.0,0.0,0.0,0.0,0.5506127828183534,0.0,0.008943653115563294,0.023093983798565674,0.03216173031264595,0.020501452807846113,0.01585975051236162,0.023094010767585032
0,0.2274357229853013,0.0,0.0,0.34543560689059655,0.0,0.0,0.4271286701241022,0.0,0.0,0.0,0.0,0.01508254111826236,0.023094001104292206,0.021237585747144086,0.014429905324477774,0.010440704237660591,0.023094010767585032
0,0.4822348868234663,0.0,0.0,0.0,0.30874187620184695,0.0,0.0,0.08644907663685601,0.0,0.1225741603378307,0.0,0.01022431595234653,0.023093989733417766,0.02712771671492394,0.020932341878270824,0.009564194102464542,0.023094010767585032
